Component_Name,File_Path,Type,Description,Dependencies,Status,Last_Modified,Developer
Sidebar,src/components/Sidebar.tsx,React Component,Navigation sidebar with menu items,"react-router-dom;lucide-react",Active,2024-01-01,AI Assistant
TestResultPage,src/components/TestResultPage.tsx,React Component,Test results display page,"react",Active,2024-01-15,AI Assistant
Chat,src/components/Chat.tsx,React Component,Chat interface component,"react;lucide-react",Active,2024-01-01,AI Assistant
CourseCard,src/components/CourseCard.tsx,React Component,Card component for displaying courses,"react",Active,2024-01-01,AI Assistant
Flashcards,src/components/Flashcards.tsx,React Component,Flashcard learning component,"react",Active,2024-01-01,AI Assistant
Quizzes,src/components/Quizzes.tsx,React Component,Quiz interface component,"react",Active,2024-01-01,AI Assistant
LoginPage,src/components/LoginPage.tsx,React Component,User authentication page,"react;react-hook-form",Active,2024-01-01,AI Assistant
ReferralPage,src/components/ReferralPage.tsx,React Component,Referral program page,"react",Active,2024-01-01,AI Assistant
History,src/components/History.tsx,React Component,User history display,"react",Active,2024-01-01,AI Assistant
Button,src/components/ui/button.tsx,UI Component,Reusable button component,"@radix-ui/react-slot;class-variance-authority",Active,2024-01-01,AI Assistant
Card,src/components/ui/card.tsx,UI Component,Card layout component,"react",Active,2024-01-01,AI Assistant
Dialog,src/components/ui/dialog.tsx,UI Component,Modal dialog component,"@radix-ui/react-dialog",Active,2024-01-01,AI Assistant
Input,src/components/ui/input.tsx,UI Component,Form input component,"react",Active,2024-01-01,AI Assistant 
